subject,course_number,course_title,first_seen_term,last_seen_term
ATHL,A261,Volleyball Team - Men's,Intersession/Spring 2023,Winter/Spring 2026
ATHL,A263,Water Polo Team - Men's,Fall 2023,Fall 2026
BIOL,A010N,Biology lab/field experience,Fall 2026,Fall 2026
BIOL,A100,Principles of Biology,Intersession/Spring 2023,Fall 2026
BIOL,A100H,Principles of Biology Honors,Intersession/Spring 2023,Winter/Spring 2026
BIOL,A114,Basic Microbiology,Fall 2023,Fall 2026
BIOL,A120,Anatomy Discussion,Intersession/Spring 2023,Fall 2026
BIOL,A125,Human Biology,Intersession/Spring 2023,Fall 2026
BIOL,A172,Nature of Birds,Intersession/Spring 2023,Winter/Spring 2026
BIOL,A180,Intro to Bio for Majors 1,Intersession/Spring 2023,Fall 2026
BIOL,A182,Zoology,Intersession/Spring 2023,Fall 2026
BIOL,A182L,Zoology Lab,Intersession/Spring 2023,Fall 2026
BIOL,A183,Botany,Intersession/Spring 2023,Fall 2026
BIOL,A183L,Botany Lab,Intersession/Spring 2023,Fall 2026
BIOL,A185,Intro to Bio for Majors 2,Intersession/Spring 2023,Fall 2026
BIOL,A200,Advanced Anatomy Practicum,Intersession/Spring 2023,Fall 2024
BIOL,A201,Human Cadaver Prosection,Fall 2024,Fall 2026
BIOL,A210,General Microbiology,Intersession/Spring 2023,Fall 2026
BIOL,A220,Human Anatomy,Intersession/Spring 2023,Fall 2026
BIOL,A221,Anatomy-Physiology,Intersession/Spring 2023,Fall 2026
BIOL,A225,Human Physiology,Intersession/Spring 2023,Fall 2026
BIOL,A280,Evolutionary Ecology,Intersession/Spring 2023,Winter/Spring 2026
BIOL,A281,Biochemistry,Intersession/Spring 2023,Winter/Spring 2026
BIOL,A282,Molecular Biology,Intersession/Spring 2023,Winter/Spring 2026
BIOL,A283,Genetics,Intersession/Spring 2023,Fall 2026
BRCT,A105,Broadcast Journalism,Fall 2023,Fall 2024
BRCT,A205,Remote Broadcasting,Intersession/Spring 2023,Intersession/Spring 2024
BUS,A100,Intro to Business,Intersession/Spring 2023,Fall 2026
BUS,A100H,Intro Business Honors,Intersession/Spring 2023,Fall 2026
BUS,A101,Social Media for Business,Intersession/Spring 2023,Fall 2026
BUS,A110,Business Law,Intersession/Spring 2023,Fall 2026
BUS,A110H,Business Law Honors,Intersession/Spring 2023,Fall 2026
BUS,A118,International Business,Intersession/Spring 2023,Winter/Spring 2025
BUS,A118H,International Business Honors,Intersession/Spring 2023,Winter/Spring 2025
BUS,A120,Personl Financl Success,Intersession/Spring 2023,Fall 2026
BUS,A134,Excel 1,Intersession/Spring 2023,Fall 2026
BUS,A138,Business English,Intersession/Spring 2023,Fall 2026
BUS,A139,Business Communication,Intersession/Spring 2023,Fall 2026
BUS,A185,Public Relations,Intersession/Spring 2023,Fall 2026
BUS,A200,Business Finance,Fall 2023,Fall 2026
BUS,A210,Securities Investment,Intersession/Spring 2023,Winter/Spring 2026
BUS,A212,Practical Investmt Mgmt,Fall 2023,Fall 2026
BUS,A234,Excel 2,Intersession/Spring 2023,Fall 2026
BUS,A239,Professionl Communicatn,Intersession/Spring 2023,Fall 2026
BUS,A240,Entrepreneurship,Intersession/Spring 2023,Fall 2026
CA,A100,Intro Hospitality Industry,Intersession/Spring 2023,Intersession/Spring 2023
CA,A120,Culinary Principles 1,Intersession/Spring 2023,Fall 2026
CA,A122,Culinary Principles 2,Intersession/Spring 2023,Fall 2026
CA,A124,Principles of Baking 1,Intersession/Spring 2023,Fall 2026
CA,A126,Principles of Baking 2,Intersession/Spring 2023,Fall 2026
CA,A131,Principles of Artisan Bread,Intersession/Spring 2023,Fall 2026
CA,A149,Pantry,Intersession/Spring 2023,Fall 2026
CA,A170,Culinary Team Competition,Fall 2023,Fall 2026
CA,A199,Current Issues in C A,Intersession/Spring 2023,Intersession/Spring 2023
CA,A200,Garde Manger 1,Intersession/Spring 2023,Fall 2026
CA,A205,Culinary & Baking-Spec Diets,Fall 2024,Fall 2026
CA,A210,Dir Practice Culinary Arts 1,Intersession/Spring 2023,Fall 2024
CA,A215,Dir Practice Culinary Arts,Intersession/Spring 2023,Summer 2026
CA,A226,Principles Pastry Arts,Fall 2023,Fall 2026
CA,A236,Direc Prac Bakng/Pastry 1,Intersession/Spring 2023,Fall 2026
CA,A237,Dir Practic Baking/Pastry 2,Intersession/Spring 2023,Fall 2026
CA,A245,Culinary Principles 3,Fall 2023,Fall 2026
CA,A255,Garde Manger 2,Intersession/Spring 2023,Fall 2026
CA,A265,Ala Minute Cont Cooking,Intersession/Spring 2023,Fall 2026
CA,A270,Ice Carving,Intersession/Spring 2023,Intersession/Spring 2023
CDE,A102,Teaching in Elementary Setting,Intersession/Spring 2023,Winter/Spring 2026
CDE,A112,Intro Autism Spectrum & ABA,Intersession/Spring 2023,Winter/Spring 2026
CDE,A126,Teaching in a Diverse Society,Intersession/Spring 2023,Fall 2026
CDE,A127,"Health, Safety, and Nutrition",Intersession/Spring 2023,Fall 2026
CDE,A130,Language Arts for Children,Intersession/Spring 2023,Fall 2026
CDE,A131,Creativity for Children,Intersession/Spring 2023,Fall 2026
CDE,A132,Science & Math for Young Child,Intersession/Spring 2023,Fall 2026
CDE,A155,Principles & Practice Teaching,Intersession/Spring 2023,Fall 2026
CDE,A156,EC Lab: Interaction Young Chld,Intersession/Spring 2023,Fall 2026
CDE,A157,Guidance for Young Children,Intersession/Spring 2023,Fall 2026
CDE,A165,Observing & Recording Behavior,Intersession/Spring 2023,Fall 2026
CDE,A174,Collaborating with Families,Intersession/Spring 2023,Winter/Spring 2026
CDE,A175,The Teaching Profession,Intersession/Spring 2023,Fall 2026
CDE,A180,"Child, Growth and Development",Intersession/Spring 2023,Fall 2026
CDE,A182,Mid Childhood Dev & Guidance,Intersession/Spring 2023,Winter/Spring 2026
CDE,A184,Infant Dev & Relationships,Intersession/Spring 2023,Fall 2026
CDE,A190,"Family, School & Comm Partners",Intersession/Spring 2023,Fall 2026
CDE,A199,Current Issues in E C,Intersession/Spring 2023,Fall 2026
CDE,A200,ECE Program - The Curriculum,Intersession/Spring 2023,Fall 2026
CDE,A201,EC Practicum/Field Experience,Intersession/Spring 2023,Fall 2026
CDE,A210,Intro to Exceptional Child,Intersession/Spring 2023,Fall 2026
CDE,A211,Strategies for Inclusion,Fall 2023,Fall 2026
CDE,A220,Infant & Toddler Programs,Intersession/Spring 2023,Winter/Spring 2026
CDE,A261,Learning Title 22,Intersession/Spring 2023,Winter/Spring 2026
CDE,A262,Disaster Preparedness,Fall 2023,Fall 2026
CDE,A264,Trauma Informed Care,Intersession/Spring 2023,Fall 2025
CDE,A275,EC Admin Program,Fall 2023,Fall 2026
CDE,A276,Early Chldhd Management,Intersession/Spring 2023,Winter/Spring 2026
CDE,A277,Adult Supervision in EC,Intersession/Spring 2023,Fall 2026
CFT,A100,Intro to Composite Fabrication,Intersession/Spring 2023,Intersession/Spring 2023
CFT,A114,Contemporary Cabinetmaking,Intersession/Spring 2023,Fall 2026
CHEM,A010N,Chem Skills for Intro Chem NC,Intersession/Spring 2023,Fall 2026
CHEM,A020,Prob Solvg/Organic Chem 1,Intersession/Spring 2023,Winter/Spring 2026
CHEM,A025,Prob Solvg/Organic Chem 2,Fall 2023,Fall 2026
CHEM,A030N,Chem Skills for Gen Chem NC Corequisite: CHEM A130,Intersession/Spring 2023,Fall 2025
CHEM,A080N,Chem Study Skills Gen Chem A Corequisite: CHEM A180,Intersession/Spring 2023,Fall 2024
CHEM,A085N,Chem Study Skills Gen Chem B,Intersession/Spring 2023,Fall 2026
CHEM,A100,Principles of Chemistry,Intersession/Spring 2023,Fall 2026
CHEM,A110,Introduction to Chemistry,Intersession/Spring 2023,Fall 2026
CHEM,A130,Preparation for Gen Chemistry,Intersession/Spring 2023,Fall 2026
CHEM,A180,General Chemistry A,Intersession/Spring 2023,Fall 2026
CHEM,A185,General Chemistry B,Intersession/Spring 2023,Fall 2026
CHEM,A220,Organic Chemistry A,Intersession/Spring 2023,Fall 2026
CHEM,A220L,Organic Chemistry A Lab,Intersession/Spring 2023,Fall 2026
CHEM,A225,Organic Chemistry B,Intersession/Spring 2023,Fall 2026
CHEM,A225L,Organic Chemistry B Lab,Intersession/Spring 2023,Fall 2026
CHIN,A180,Elementary Chinese 1,Intersession/Spring 2023,Fall 2026
CHIN,A185,Elementary Chinese 2,Intersession/Spring 2023,Winter/Spring 2026
CHT,A001N,Computer Basics - Introduction,Intersession/Spring 2023,Fall 2026
CHT,A002N,Comp Basics - Nav the Internet,Intersession/Spring 2023,Fall 2026
CHT,A015N,MS Word & PowerPoint Basics,Fall 2024,Fall 2026
CHT,A020N,Microsoft Excel Basics,Winter/Spring 2025,Fall 2026
CHT,A030N,Computer Skills for 21st Cntry,Fall 2024,Fall 2026
CHT,A040N,Google Applications,Winter/Spring 2025,Fall 2026
CHT,A090N,Artificial Intelligence Basics,Fall 2026,Fall 2026
CHT,A095N,AI for Professionals,Fall 2026,Fall 2026
CHT,A100,Comp Use in Technology,Intersession/Spring 2023,Fall 2026
